state,kind,adaptation_step,adaptation_examples_seen,interpolation_alpha,condition,task,records,pairs,sample_preference_accuracy,paired_preference_accuracy,mean_correct_margin
frozen-base,frozen,0,0,,vision,overall,12,6,0.5833333333333334,0.16666666666666666,0.8784876440962156
frozen-base,frozen,0,0,,vision,color,2,1,0.5,0.0,0.34375
frozen-base,frozen,0,0,,vision,coordinate,2,1,0.5,0.0,0.05373501777648926
frozen-base,frozen,0,0,,vision,count,2,1,1.0,1.0,0.25
frozen-base,frozen,0,0,,vision,ocr,2,1,0.5,0.0,-0.03280925750732422
frozen-base,frozen,0,0,,vision,shape,2,1,0.5,0.0,4.531250141561031
frozen-base,frozen,0,0,,vision,spatial,2,1,0.5,0.0,0.12499996274709702
frozen-base,frozen,0,0,,paired_counterfactual_image,overall,12,6,0.4166666666666667,0.0,-0.8784876440962156
frozen-base,frozen,0,0,,paired_counterfactual_image,color,2,1,0.5,0.0,-0.34375
frozen-base,frozen,0,0,,paired_counterfactual_image,coordinate,2,1,0.5,0.0,-0.05373501777648926
frozen-base,frozen,0,0,,paired_counterfactual_image,count,2,1,0.0,0.0,-0.25
frozen-base,frozen,0,0,,paired_counterfactual_image,ocr,2,1,0.5,0.0,0.03280925750732422
frozen-base,frozen,0,0,,paired_counterfactual_image,shape,2,1,0.5,0.0,-4.531250141561031
frozen-base,frozen,0,0,,paired_counterfactual_image,spatial,2,1,0.5,0.0,-0.12499996274709702
frozen-base,frozen,0,0,,shuffled_image,overall,12,6,0.5,0.0,0.70881298246483
frozen-base,frozen,0,0,,shuffled_image,color,2,1,0.5,0.0,0.03125
frozen-base,frozen,0,0,,shuffled_image,coordinate,2,1,0.5,0.0,0.03799867630004883
frozen-base,frozen,0,0,,shuffled_image,count,2,1,0.5,0.0,-0.12499997019767761
frozen-base,frozen,0,0,,shuffled_image,ocr,2,1,0.5,0.0,-0.09762108325958252
frozen-base,frozen,0,0,,shuffled_image,shape,2,1,0.5,0.0,4.281250257045031
frozen-base,frozen,0,0,,shuffled_image,spatial,2,1,0.5,0.0,0.1250000149011612
projector-interp000,projector,0,,0.0,vision,overall,12,6,0.6666666666666666,0.3333333333333333,1.4270526133477688
projector-interp000,projector,0,,0.0,vision,color,2,1,1.0,1.0,1.718750238418579
projector-interp000,projector,0,,0.0,vision,coordinate,2,1,0.5,0.0,0.20141057670116425
projector-interp000,projector,0,,0.0,vision,count,2,1,1.0,1.0,0.71875
projector-interp000,projector,0,,0.0,vision,ocr,2,1,0.5,0.0,0.017155051231384277
projector-interp000,projector,0,,0.0,vision,shape,2,1,0.5,0.0,5.468749791383743
projector-interp000,projector,0,,0.0,vision,spatial,2,1,0.5,0.0,0.4375000223517418
projector-interp000,projector,0,,0.0,paired_counterfactual_image,overall,12,6,0.3333333333333333,0.0,-1.4270526133477688
projector-interp000,projector,0,,0.0,paired_counterfactual_image,color,2,1,0.0,0.0,-1.718750238418579
projector-interp000,projector,0,,0.0,paired_counterfactual_image,coordinate,2,1,0.5,0.0,-0.20141057670116425
projector-interp000,projector,0,,0.0,paired_counterfactual_image,count,2,1,0.0,0.0,-0.71875
projector-interp000,projector,0,,0.0,paired_counterfactual_image,ocr,2,1,0.5,0.0,-0.017155051231384277
projector-interp000,projector,0,,0.0,paired_counterfactual_image,shape,2,1,0.5,0.0,-5.468749791383743
projector-interp000,projector,0,,0.0,paired_counterfactual_image,spatial,2,1,0.5,0.0,-0.4375000223517418
projector-interp000,projector,0,,0.0,shuffled_image,overall,12,6,0.5833333333333334,0.16666666666666666,1.143170427531004
projector-interp000,projector,0,,0.0,shuffled_image,color,2,1,0.5,0.0,-0.062499940395355225
projector-interp000,projector,0,,0.0,shuffled_image,coordinate,2,1,0.5,0.0,0.3325640559196472
projector-interp000,projector,0,,0.0,shuffled_image,count,2,1,0.5,0.0,-0.1562500298023224
projector-interp000,projector,0,,0.0,shuffled_image,ocr,2,1,0.5,0.0,-0.0047914981842041016
projector-interp000,projector,0,,0.0,shuffled_image,shape,2,1,1.0,1.0,6.562499977648258
projector-interp000,projector,0,,0.0,shuffled_image,spatial,2,1,0.5,0.0,0.1875
projector-interp025,projector,25,,0.25,vision,overall,12,6,0.6666666666666666,0.3333333333333333,1.3730283776919048
projector-interp025,projector,25,,0.25,vision,color,2,1,0.5,0.0,1.78125
projector-interp025,projector,25,,0.25,vision,coordinate,2,1,0.5,0.0,0.01863636076450348
projector-interp025,projector,25,,0.25,vision,count,2,1,1.0,1.0,0.8437499403953552
projector-interp025,projector,25,,0.25,vision,ocr,2,1,0.5,0.0,0.03203392028808594
projector-interp025,projector,25,,0.25,vision,shape,2,1,0.5,0.0,4.750000044703484
projector-interp025,projector,25,,0.25,vision,spatial,2,1,1.0,1.0,0.8125
projector-interp025,projector,25,,0.25,paired_counterfactual_image,overall,12,6,0.25,0.0,-1.3730283776919048
projector-interp025,projector,25,,0.25,paired_counterfactual_image,color,2,1,0.0,0.0,-1.78125
projector-interp025,projector,25,,0.25,paired_counterfactual_image,coordinate,2,1,0.5,0.0,-0.01863636076450348
projector-interp025,projector,25,,0.25,paired_counterfactual_image,count,2,1,0.0,0.0,-0.8437499403953552
projector-interp025,projector,25,,0.25,paired_counterfactual_image,ocr,2,1,0.5,0.0,-0.03203392028808594
projector-interp025,projector,25,,0.25,paired_counterfactual_image,shape,2,1,0.5,0.0,-4.750000044703484
projector-interp025,projector,25,,0.25,paired_counterfactual_image,spatial,2,1,0.0,0.0,-0.8125
projector-interp025,projector,25,,0.25,shuffled_image,overall,12,6,0.5833333333333334,0.16666666666666666,1.1798050825794537
projector-interp025,projector,25,,0.25,shuffled_image,color,2,1,0.5,0.0,-0.0625
projector-interp025,projector,25,,0.25,shuffled_image,coordinate,2,1,0.5,0.0,0.5958717167377472
projector-interp025,projector,25,,0.25,shuffled_image,count,2,1,0.5,0.0,-0.1562499701976776
projector-interp025,projector,25,,0.25,shuffled_image,ocr,2,1,0.5,0.0,0.014208674430847168
projector-interp025,projector,25,,0.25,shuffled_image,shape,2,1,1.0,1.0,6.500000074505806
projector-interp025,projector,25,,0.25,shuffled_image,spatial,2,1,0.5,0.0,0.1875
projector-interp050,projector,50,,0.5,vision,overall,12,6,0.6666666666666666,0.3333333333333333,1.547306692848603
projector-interp050,projector,50,,0.5,vision,color,2,1,0.5,0.0,2.062500238418579
projector-interp050,projector,50,,0.5,vision,coordinate,2,1,0.5,0.0,0.15252435207366943
projector-interp050,projector,50,,0.5,vision,count,2,1,1.0,1.0,0.9374999105930328
projector-interp050,projector,50,,0.5,vision,ocr,2,1,0.5,0.0,0.06881546974182129
projector-interp050,projector,50,,0.5,vision,shape,2,1,0.5,0.0,4.750000134110451
projector-interp050,projector,50,,0.5,vision,spatial,2,1,1.0,1.0,1.3125000521540642
projector-interp050,projector,50,,0.5,paired_counterfactual_image,overall,12,6,0.25,0.0,-1.547306692848603
projector-interp050,projector,50,,0.5,paired_counterfactual_image,color,2,1,0.0,0.0,-2.062500238418579
projector-interp050,projector,50,,0.5,paired_counterfactual_image,coordinate,2,1,0.5,0.0,-0.15252435207366943
projector-interp050,projector,50,,0.5,paired_counterfactual_image,count,2,1,0.0,0.0,-0.9374999105930328
projector-interp050,projector,50,,0.5,paired_counterfactual_image,ocr,2,1,0.5,0.0,-0.06881546974182129
projector-interp050,projector,50,,0.5,paired_counterfactual_image,shape,2,1,0.5,0.0,-4.750000134110451
projector-interp050,projector,50,,0.5,paired_counterfactual_image,spatial,2,1,0.0,0.0,-1.3125000521540642
projector-interp050,projector,50,,0.5,shuffled_image,overall,12,6,0.5,0.16666666666666666,1.2229501642286777
projector-interp050,projector,50,,0.5,shuffled_image,color,2,1,0.0,0.0,-0.0625
projector-interp050,projector,50,,0.5,shuffled_image,coordinate,2,1,0.5,0.0,0.6906866729259491
projector-interp050,projector,50,,0.5,shuffled_image,count,2,1,0.5,0.0,-0.18750008940696716
projector-interp050,projector,50,,0.5,shuffled_image,ocr,2,1,0.5,0.0,-0.009235620498657227
projector-interp050,projector,50,,0.5,shuffled_image,shape,2,1,1.0,1.0,6.593750007450581
projector-interp050,projector,50,,0.5,shuffled_image,spatial,2,1,0.5,0.0,0.3125000149011612
projector-interp075,projector,75,,0.75,vision,overall,12,6,0.75,0.5,1.7651292166362207
projector-interp075,projector,75,,0.75,vision,color,2,1,1.0,1.0,2.624999761581421
projector-interp075,projector,75,,0.75,vision,coordinate,2,1,0.5,0.0,0.4037971496582031
projector-interp075,projector,75,,0.75,vision,count,2,1,1.0,1.0,0.9687499701976776
projector-interp075,projector,75,,0.75,vision,ocr,2,1,0.5,0.0,0.09322857856750488
projector-interp075,projector,75,,0.75,vision,shape,2,1,0.5,0.0,4.312499761581421
projector-interp075,projector,75,,0.75,vision,spatial,2,1,1.0,1.0,2.1875000782310963
projector-interp075,projector,75,,0.75,paired_counterfactual_image,overall,12,6,0.25,0.0,-1.7651292166362207
projector-interp075,projector,75,,0.75,paired_counterfactual_image,color,2,1,0.0,0.0,-2.624999761581421
projector-interp075,projector,75,,0.75,paired_counterfactual_image,coordinate,2,1,0.5,0.0,-0.4037971496582031
projector-interp075,projector,75,,0.75,paired_counterfactual_image,count,2,1,0.0,0.0,-0.9687499701976776
projector-interp075,projector,75,,0.75,paired_counterfactual_image,ocr,2,1,0.5,0.0,-0.09322857856750488
projector-interp075,projector,75,,0.75,paired_counterfactual_image,shape,2,1,0.5,0.0,-4.312499761581421
projector-interp075,projector,75,,0.75,paired_counterfactual_image,spatial,2,1,0.0,0.0,-2.1875000782310963
projector-interp075,projector,75,,0.75,shuffled_image,overall,12,6,0.5833333333333334,0.16666666666666666,1.2915409058332443
projector-interp075,projector,75,,0.75,shuffled_image,color,2,1,0.5,0.0,0.0
projector-interp075,projector,75,,0.75,shuffled_image,coordinate,2,1,0.5,0.0,0.7365751266479492
projector-interp075,projector,75,,0.75,shuffled_image,count,2,1,0.5,0.0,-0.15625005960464478
projector-interp075,projector,75,,0.75,shuffled_image,ocr,2,1,0.5,0.0,0.07517004013061523
projector-interp075,projector,75,,0.75,shuffled_image,shape,2,1,1.0,1.0,6.781250290572643
projector-interp075,projector,75,,0.75,shuffled_image,spatial,2,1,0.5,0.0,0.312500037252903
projector-interp100,projector,100,,1.0,vision,overall,12,6,0.75,0.5,1.9668782392206292
projector-interp100,projector,100,,1.0,vision,color,2,1,1.0,1.0,2.875
projector-interp100,projector,100,,1.0,vision,coordinate,2,1,0.5,0.0,0.5419246256351471
projector-interp100,projector,100,,1.0,vision,count,2,1,1.0,1.0,1.0312500596046448
projector-interp100,projector,100,,1.0,vision,ocr,2,1,0.5,0.0,0.07184469699859619
projector-interp100,projector,100,,1.0,vision,shape,2,1,0.5,0.0,3.90625
projector-interp100,projector,100,,1.0,vision,spatial,2,1,1.0,1.0,3.3750000530853868
projector-interp100,projector,100,,1.0,paired_counterfactual_image,overall,12,6,0.25,0.0,-1.9668782392206292
projector-interp100,projector,100,,1.0,paired_counterfactual_image,color,2,1,0.0,0.0,-2.875
projector-interp100,projector,100,,1.0,paired_counterfactual_image,coordinate,2,1,0.5,0.0,-0.5419246256351471
projector-interp100,projector,100,,1.0,paired_counterfactual_image,count,2,1,0.0,0.0,-1.0312500596046448
projector-interp100,projector,100,,1.0,paired_counterfactual_image,ocr,2,1,0.5,0.0,-0.07184469699859619
projector-interp100,projector,100,,1.0,paired_counterfactual_image,shape,2,1,0.5,0.0,-3.90625
projector-interp100,projector,100,,1.0,paired_counterfactual_image,spatial,2,1,0.0,0.0,-3.3750000530853868
projector-interp100,projector,100,,1.0,shuffled_image,overall,12,6,0.5833333333333334,0.16666666666666666,1.290329590284576
projector-interp100,projector,100,,1.0,shuffled_image,color,2,1,0.5,0.0,0.18750005960464478
projector-interp100,projector,100,,1.0,shuffled_image,coordinate,2,1,0.5,0.0,0.7403651475906372
projector-interp100,projector,100,,1.0,shuffled_image,count,2,1,0.5,0.0,-0.15624994039535522
projector-interp100,projector,100,,1.0,shuffled_image,ocr,2,1,0.5,0.0,0.032862186431884766
projector-interp100,projector,100,,1.0,shuffled_image,shape,2,1,1.0,1.0,6.625000149011612
projector-interp100,projector,100,,1.0,shuffled_image,spatial,2,1,0.5,0.0,0.31249993946403265
