state,kind,adaptation_step,adaptation_examples_seen,interpolation_alpha,condition,task,records,pairs,accuracy,paired_accuracy,answer_flip_accuracy,prediction_flip_rate
frozen-base,frozen,0,0,,vision,overall,12,6,0.25,0.16666666666666666,0.16666666666666666,0.3333333333333333
frozen-base,frozen,0,0,,vision,color,2,1,0.0,0.0,0.0,0.0
frozen-base,frozen,0,0,,vision,coordinate,2,1,0.0,0.0,0.0,0.0
frozen-base,frozen,0,0,,vision,count,2,1,0.0,0.0,0.0,0.0
frozen-base,frozen,0,0,,vision,ocr,2,1,0.0,0.0,0.0,1.0
frozen-base,frozen,0,0,,vision,shape,2,1,1.0,1.0,1.0,1.0
frozen-base,frozen,0,0,,vision,spatial,2,1,0.5,0.0,0.0,0.0
frozen-base,frozen,0,0,,paired_counterfactual_image,overall,12,6,0.25,0.16666666666666666,0.16666666666666666,0.3333333333333333
frozen-base,frozen,0,0,,paired_counterfactual_image,color,2,1,0.0,0.0,0.0,0.0
frozen-base,frozen,0,0,,paired_counterfactual_image,coordinate,2,1,0.0,0.0,0.0,0.0
frozen-base,frozen,0,0,,paired_counterfactual_image,count,2,1,0.0,0.0,0.0,0.0
frozen-base,frozen,0,0,,paired_counterfactual_image,ocr,2,1,0.0,0.0,0.0,1.0
frozen-base,frozen,0,0,,paired_counterfactual_image,shape,2,1,1.0,1.0,1.0,1.0
frozen-base,frozen,0,0,,paired_counterfactual_image,spatial,2,1,0.5,0.0,0.0,0.0
projector-interp000,projector,0,,0.0,vision,overall,12,6,0.5833333333333334,0.5,0.5,0.8333333333333334
projector-interp000,projector,0,,0.0,vision,color,2,1,0.0,0.0,0.0,0.0
projector-interp000,projector,0,,0.0,vision,coordinate,2,1,0.5,0.0,0.0,1.0
projector-interp000,projector,0,,0.0,vision,count,2,1,1.0,1.0,1.0,1.0
projector-interp000,projector,0,,0.0,vision,ocr,2,1,0.0,0.0,0.0,1.0
projector-interp000,projector,0,,0.0,vision,shape,2,1,1.0,1.0,1.0,1.0
projector-interp000,projector,0,,0.0,vision,spatial,2,1,1.0,1.0,1.0,1.0
projector-interp000,projector,0,,0.0,paired_counterfactual_image,overall,12,6,0.5833333333333334,0.5,0.5,0.8333333333333334
projector-interp000,projector,0,,0.0,paired_counterfactual_image,color,2,1,0.0,0.0,0.0,0.0
projector-interp000,projector,0,,0.0,paired_counterfactual_image,coordinate,2,1,0.5,0.0,0.0,1.0
projector-interp000,projector,0,,0.0,paired_counterfactual_image,count,2,1,1.0,1.0,1.0,1.0
projector-interp000,projector,0,,0.0,paired_counterfactual_image,ocr,2,1,0.0,0.0,0.0,1.0
projector-interp000,projector,0,,0.0,paired_counterfactual_image,shape,2,1,1.0,1.0,1.0,1.0
projector-interp000,projector,0,,0.0,paired_counterfactual_image,spatial,2,1,1.0,1.0,1.0,1.0
projector-interp025,projector,25,,0.25,vision,overall,12,6,0.5,0.3333333333333333,0.3333333333333333,0.8333333333333334
projector-interp025,projector,25,,0.25,vision,color,2,1,0.0,0.0,0.0,0.0
projector-interp025,projector,25,,0.25,vision,coordinate,2,1,0.5,0.0,0.0,1.0
projector-interp025,projector,25,,0.25,vision,count,2,1,0.5,0.0,0.0,1.0
projector-interp025,projector,25,,0.25,vision,ocr,2,1,0.0,0.0,0.0,1.0
projector-interp025,projector,25,,0.25,vision,shape,2,1,1.0,1.0,1.0,1.0
projector-interp025,projector,25,,0.25,vision,spatial,2,1,1.0,1.0,1.0,1.0
projector-interp025,projector,25,,0.25,paired_counterfactual_image,overall,12,6,0.5,0.3333333333333333,0.3333333333333333,0.8333333333333334
projector-interp025,projector,25,,0.25,paired_counterfactual_image,color,2,1,0.0,0.0,0.0,0.0
projector-interp025,projector,25,,0.25,paired_counterfactual_image,coordinate,2,1,0.5,0.0,0.0,1.0
projector-interp025,projector,25,,0.25,paired_counterfactual_image,count,2,1,0.5,0.0,0.0,1.0
projector-interp025,projector,25,,0.25,paired_counterfactual_image,ocr,2,1,0.0,0.0,0.0,1.0
projector-interp025,projector,25,,0.25,paired_counterfactual_image,shape,2,1,1.0,1.0,1.0,1.0
projector-interp025,projector,25,,0.25,paired_counterfactual_image,spatial,2,1,1.0,1.0,1.0,1.0
projector-interp050,projector,50,,0.5,vision,overall,12,6,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.8333333333333334
projector-interp050,projector,50,,0.5,vision,color,2,1,0.0,0.0,0.0,0.0
projector-interp050,projector,50,,0.5,vision,coordinate,2,1,0.5,0.0,0.0,1.0
projector-interp050,projector,50,,0.5,vision,count,2,1,0.0,0.0,0.0,1.0
projector-interp050,projector,50,,0.5,vision,ocr,2,1,0.0,0.0,0.0,1.0
projector-interp050,projector,50,,0.5,vision,shape,2,1,1.0,1.0,1.0,1.0
projector-interp050,projector,50,,0.5,vision,spatial,2,1,1.0,1.0,1.0,1.0
projector-interp050,projector,50,,0.5,paired_counterfactual_image,overall,12,6,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.8333333333333334
projector-interp050,projector,50,,0.5,paired_counterfactual_image,color,2,1,0.0,0.0,0.0,0.0
projector-interp050,projector,50,,0.5,paired_counterfactual_image,coordinate,2,1,0.5,0.0,0.0,1.0
projector-interp050,projector,50,,0.5,paired_counterfactual_image,count,2,1,0.0,0.0,0.0,1.0
projector-interp050,projector,50,,0.5,paired_counterfactual_image,ocr,2,1,0.0,0.0,0.0,1.0
projector-interp050,projector,50,,0.5,paired_counterfactual_image,shape,2,1,1.0,1.0,1.0,1.0
projector-interp050,projector,50,,0.5,paired_counterfactual_image,spatial,2,1,1.0,1.0,1.0,1.0
projector-interp075,projector,75,,0.75,vision,overall,12,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.6666666666666666
projector-interp075,projector,75,,0.75,vision,color,2,1,0.0,0.0,0.0,0.0
projector-interp075,projector,75,,0.75,vision,coordinate,2,1,0.5,0.0,0.0,1.0
projector-interp075,projector,75,,0.75,vision,count,2,1,0.0,0.0,0.0,1.0
projector-interp075,projector,75,,0.75,vision,ocr,2,1,0.0,0.0,0.0,1.0
projector-interp075,projector,75,,0.75,vision,shape,2,1,0.5,0.0,0.0,0.0
projector-interp075,projector,75,,0.75,vision,spatial,2,1,1.0,1.0,1.0,1.0
projector-interp075,projector,75,,0.75,paired_counterfactual_image,overall,12,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.6666666666666666
projector-interp075,projector,75,,0.75,paired_counterfactual_image,color,2,1,0.0,0.0,0.0,0.0
projector-interp075,projector,75,,0.75,paired_counterfactual_image,coordinate,2,1,0.5,0.0,0.0,1.0
projector-interp075,projector,75,,0.75,paired_counterfactual_image,count,2,1,0.0,0.0,0.0,1.0
projector-interp075,projector,75,,0.75,paired_counterfactual_image,ocr,2,1,0.0,0.0,0.0,1.0
projector-interp075,projector,75,,0.75,paired_counterfactual_image,shape,2,1,0.5,0.0,0.0,0.0
projector-interp075,projector,75,,0.75,paired_counterfactual_image,spatial,2,1,1.0,1.0,1.0,1.0
projector-interp100,projector,100,,1.0,vision,overall,12,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.6666666666666666
projector-interp100,projector,100,,1.0,vision,color,2,1,0.0,0.0,0.0,0.0
projector-interp100,projector,100,,1.0,vision,coordinate,2,1,0.5,0.0,0.0,1.0
projector-interp100,projector,100,,1.0,vision,count,2,1,0.0,0.0,0.0,1.0
projector-interp100,projector,100,,1.0,vision,ocr,2,1,0.0,0.0,0.0,1.0
projector-interp100,projector,100,,1.0,vision,shape,2,1,0.5,0.0,0.0,0.0
projector-interp100,projector,100,,1.0,vision,spatial,2,1,1.0,1.0,1.0,1.0
projector-interp100,projector,100,,1.0,paired_counterfactual_image,overall,12,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.6666666666666666
projector-interp100,projector,100,,1.0,paired_counterfactual_image,color,2,1,0.0,0.0,0.0,0.0
projector-interp100,projector,100,,1.0,paired_counterfactual_image,coordinate,2,1,0.5,0.0,0.0,1.0
projector-interp100,projector,100,,1.0,paired_counterfactual_image,count,2,1,0.0,0.0,0.0,1.0
projector-interp100,projector,100,,1.0,paired_counterfactual_image,ocr,2,1,0.0,0.0,0.0,1.0
projector-interp100,projector,100,,1.0,paired_counterfactual_image,shape,2,1,0.5,0.0,0.0,0.0
projector-interp100,projector,100,,1.0,paired_counterfactual_image,spatial,2,1,1.0,1.0,1.0,1.0
