pairs_per_task,trial,trigger_tasks,target_triggered,exact_decision,familywise_false_trigger,false_trigger_tasks
8,0,,False,False,False,
8,1,,False,False,False,
8,2,,False,False,False,
8,3,,False,False,False,
8,4,count,True,True,False,
8,5,,False,False,False,
8,6,count,True,True,False,
8,7,,False,False,False,
8,8,count,True,True,False,
8,9,count,True,True,False,
8,10,count,True,True,False,
8,11,count,True,True,False,
8,12,count,True,True,False,
8,13,count,True,True,False,
8,14,count,True,True,False,
8,15,count,True,True,False,
8,16,,False,False,False,
8,17,,False,False,False,
8,18,count,True,True,False,
8,19,,False,False,False,
8,20,,False,False,False,
8,21,count,True,True,False,
8,22,,False,False,False,
8,23,,False,False,False,
8,24,count,True,True,False,
8,25,count,True,True,False,
8,26,,False,False,False,
8,27,count,True,True,False,
8,28,count,True,True,False,
8,29,,False,False,False,
8,30,shape|count,True,False,True,shape
8,31,,False,False,False,
8,32,,False,False,False,
8,33,,False,False,False,
8,34,,False,False,False,
8,35,,False,False,False,
8,36,count,True,True,False,
8,37,count|shape,True,False,True,shape
8,38,,False,False,False,
8,39,,False,False,False,
8,40,,False,False,False,
8,41,count,True,True,False,
8,42,,False,False,False,
8,43,,False,False,False,
8,44,,False,False,False,
8,45,,False,False,False,
8,46,,False,False,False,
8,47,count,True,True,False,
8,48,,False,False,False,
8,49,count,True,True,False,
8,50,count,True,True,False,
8,51,count,True,True,False,
8,52,count,True,True,False,
8,53,,False,False,False,
8,54,,False,False,False,
8,55,count,True,True,False,
8,56,,False,False,False,
8,57,count,True,True,False,
8,58,,False,False,False,
8,59,count,True,True,False,
8,60,,False,False,False,
8,61,,False,False,False,
8,62,,False,False,False,
8,63,,False,False,False,
8,64,,False,False,False,
8,65,,False,False,False,
8,66,count,True,True,False,
8,67,,False,False,False,
8,68,,False,False,False,
8,69,,False,False,False,
8,70,count,True,True,False,
8,71,,False,False,False,
8,72,count,True,True,False,
8,73,count,True,True,False,
8,74,,False,False,False,
8,75,,False,False,False,
8,76,,False,False,False,
8,77,,False,False,False,
8,78,count,True,True,False,
8,79,count,True,True,False,
8,80,,False,False,False,
8,81,count,True,True,False,
8,82,count,True,True,False,
8,83,,False,False,False,
8,84,,False,False,False,
8,85,,False,False,False,
8,86,,False,False,False,
8,87,,False,False,False,
8,88,color|count,True,False,True,color
8,89,,False,False,False,
8,90,,False,False,False,
8,91,,False,False,False,
8,92,,False,False,False,
8,93,,False,False,False,
8,94,count,True,True,False,
8,95,,False,False,False,
8,96,,False,False,False,
8,97,,False,False,False,
8,98,,False,False,False,
8,99,count,True,True,False,
8,100,,False,False,False,
8,101,,False,False,False,
8,102,,False,False,False,
8,103,count,True,True,False,
8,104,count,True,True,False,
8,105,,False,False,False,
8,106,,False,False,False,
8,107,,False,False,False,
8,108,,False,False,False,
8,109,,False,False,False,
8,110,count,True,True,False,
8,111,,False,False,False,
8,112,,False,False,False,
8,113,,False,False,False,
8,114,,False,False,False,
8,115,,False,False,False,
8,116,,False,False,False,
8,117,count,True,True,False,
8,118,,False,False,False,
8,119,,False,False,False,
8,120,,False,False,False,
8,121,,False,False,False,
8,122,,False,False,False,
8,123,,False,False,False,
8,124,,False,False,False,
8,125,count,True,True,False,
8,126,,False,False,False,
8,127,,False,False,False,
8,128,,False,False,False,
8,129,count,True,True,False,
8,130,,False,False,False,
8,131,,False,False,False,
8,132,,False,False,False,
8,133,count,True,True,False,
8,134,,False,False,False,
8,135,,False,False,False,
8,136,count,True,True,False,
8,137,,False,False,False,
8,138,count,True,True,False,
8,139,count,True,True,False,
8,140,count,True,True,False,
8,141,,False,False,False,
8,142,,False,False,False,
8,143,count,True,True,False,
8,144,,False,False,False,
8,145,count,True,True,False,
8,146,count,True,True,False,
8,147,count,True,True,False,
8,148,count,True,True,False,
8,149,,False,False,False,
8,150,,False,False,False,
8,151,,False,False,False,
8,152,count,True,True,False,
8,153,count,True,True,False,
8,154,count,True,True,False,
8,155,,False,False,False,
8,156,,False,False,False,
8,157,count,True,True,False,
8,158,count,True,True,False,
8,159,,False,False,False,
8,160,count,True,True,False,
8,161,count,True,True,False,
8,162,count,True,True,False,
8,163,,False,False,False,
8,164,,False,False,False,
8,165,,False,False,False,
8,166,count,True,True,False,
8,167,count,True,True,False,
8,168,count,True,True,False,
8,169,,False,False,False,
8,170,,False,False,False,
8,171,,False,False,False,
8,172,,False,False,False,
8,173,,False,False,False,
8,174,,False,False,False,
8,175,count,True,True,False,
8,176,,False,False,False,
8,177,count,True,True,False,
8,178,,False,False,False,
8,179,,False,False,False,
8,180,count,True,True,False,
8,181,count,True,True,False,
8,182,,False,False,False,
8,183,count,True,True,False,
8,184,count,True,True,False,
8,185,,False,False,False,
8,186,count,True,True,False,
8,187,,False,False,False,
8,188,,False,False,False,
8,189,,False,False,False,
8,190,,False,False,False,
8,191,,False,False,False,
8,192,,False,False,False,
8,193,,False,False,False,
8,194,,False,False,False,
8,195,,False,False,False,
8,196,,False,False,False,
8,197,count,True,True,False,
8,198,count,True,True,False,
8,199,,False,False,False,
16,0,count,True,True,False,
16,1,,False,False,False,
16,2,count,True,True,False,
16,3,count,True,True,False,
16,4,count,True,True,False,
16,5,count,True,True,False,
16,6,count,True,True,False,
16,7,count,True,True,False,
16,8,count,True,True,False,
16,9,count,True,True,False,
16,10,count,True,True,False,
16,11,,False,False,False,
16,12,count,True,True,False,
16,13,count,True,True,False,
16,14,,False,False,False,
16,15,count,True,True,False,
16,16,count,True,True,False,
16,17,count,True,True,False,
16,18,count,True,True,False,
16,19,,False,False,False,
16,20,,False,False,False,
16,21,count,True,True,False,
16,22,count,True,True,False,
16,23,count,True,True,False,
16,24,coordinate|count,True,False,True,coordinate
16,25,count,True,True,False,
16,26,count,True,True,False,
16,27,count,True,True,False,
16,28,count,True,True,False,
16,29,count,True,True,False,
16,30,count,True,True,False,
16,31,count,True,True,False,
16,32,count,True,True,False,
16,33,,False,False,False,
16,34,count,True,True,False,
16,35,,False,False,False,
16,36,count,True,True,False,
16,37,count,True,True,False,
16,38,,False,False,False,
16,39,count|shape,True,False,True,shape
16,40,count,True,True,False,
16,41,count,True,True,False,
16,42,,False,False,False,
16,43,,False,False,False,
16,44,count,True,True,False,
16,45,,False,False,False,
16,46,count,True,True,False,
16,47,,False,False,False,
16,48,count,True,True,False,
16,49,count,True,True,False,
16,50,count,True,True,False,
16,51,count,True,True,False,
16,52,count,True,True,False,
16,53,count,True,True,False,
16,54,count,True,True,False,
16,55,count,True,True,False,
16,56,count,True,True,False,
16,57,,False,False,False,
16,58,count,True,True,False,
16,59,count,True,True,False,
16,60,count,True,True,False,
16,61,,False,False,False,
16,62,count,True,True,False,
16,63,count,True,True,False,
16,64,count,True,True,False,
16,65,,False,False,False,
16,66,count,True,True,False,
16,67,count,True,True,False,
16,68,count,True,True,False,
16,69,count,True,True,False,
16,70,count,True,True,False,
16,71,count,True,True,False,
16,72,count,True,True,False,
16,73,,False,False,False,
16,74,count,True,True,False,
16,75,count,True,True,False,
16,76,count,True,True,False,
16,77,count,True,True,False,
16,78,count,True,True,False,
16,79,,False,False,False,
16,80,,False,False,False,
16,81,count,True,True,False,
16,82,count,True,True,False,
16,83,count,True,True,False,
16,84,count,True,True,False,
16,85,count,True,True,False,
16,86,,False,False,False,
16,87,count,True,True,False,
16,88,count,True,True,False,
16,89,count,True,True,False,
16,90,,False,False,False,
16,91,count,True,True,False,
16,92,,False,False,False,
16,93,count,True,True,False,
16,94,count,True,True,False,
16,95,count,True,True,False,
16,96,count,True,True,False,
16,97,count,True,True,False,
16,98,count,True,True,False,
16,99,count,True,True,False,
16,100,count,True,True,False,
16,101,count,True,True,False,
16,102,count,True,True,False,
16,103,,False,False,False,
16,104,count,True,True,False,
16,105,,False,False,False,
16,106,count,True,True,False,
16,107,count,True,True,False,
16,108,count,True,True,False,
