state,kind,adaptation_step,adaptation_examples_seen,condition,task,records,pairs,accuracy,paired_accuracy,answer_flip_accuracy,prediction_flip_rate
frozen-base,frozen,0,0,vision,overall,600,300,0.21166666666666667,0.06333333333333334,0.06333333333333334,0.37
frozen-base,frozen,0,0,vision,color,100,50,0.06,0.0,0.0,0.22
frozen-base,frozen,0,0,vision,coordinate,100,50,0.0,0.0,0.0,0.0
frozen-base,frozen,0,0,vision,count,100,50,0.08,0.0,0.0,0.3
frozen-base,frozen,0,0,vision,ocr,100,50,0.0,0.0,0.0,0.76
frozen-base,frozen,0,0,vision,shape,100,50,0.52,0.16,0.16,0.72
frozen-base,frozen,0,0,vision,spatial,100,50,0.61,0.22,0.22,0.22
frozen-base,frozen,0,0,paired_counterfactual_image,overall,600,300,0.21166666666666667,0.06333333333333334,0.06333333333333334,0.37
frozen-base,frozen,0,0,paired_counterfactual_image,color,100,50,0.06,0.0,0.0,0.22
frozen-base,frozen,0,0,paired_counterfactual_image,coordinate,100,50,0.0,0.0,0.0,0.0
frozen-base,frozen,0,0,paired_counterfactual_image,count,100,50,0.08,0.0,0.0,0.3
frozen-base,frozen,0,0,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.76
frozen-base,frozen,0,0,paired_counterfactual_image,shape,100,50,0.52,0.16,0.16,0.72
frozen-base,frozen,0,0,paired_counterfactual_image,spatial,100,50,0.61,0.22,0.22,0.22
lora-step25,lora,25,600,vision,overall,600,300,0.21666666666666667,0.08666666666666667,0.08666666666666667,0.39
lora-step25,lora,25,600,vision,color,100,50,0.01,0.0,0.0,0.08
lora-step25,lora,25,600,vision,coordinate,100,50,0.0,0.0,0.0,0.0
lora-step25,lora,25,600,vision,count,100,50,0.08,0.0,0.0,0.5
lora-step25,lora,25,600,vision,ocr,100,50,0.0,0.0,0.0,0.62
lora-step25,lora,25,600,vision,shape,100,50,0.54,0.18,0.18,0.8
lora-step25,lora,25,600,vision,spatial,100,50,0.67,0.34,0.34,0.34
lora-step25,lora,25,600,paired_counterfactual_image,overall,600,300,0.21666666666666667,0.08666666666666667,0.08666666666666667,0.39
lora-step25,lora,25,600,paired_counterfactual_image,color,100,50,0.01,0.0,0.0,0.08
lora-step25,lora,25,600,paired_counterfactual_image,coordinate,100,50,0.0,0.0,0.0,0.0
lora-step25,lora,25,600,paired_counterfactual_image,count,100,50,0.08,0.0,0.0,0.5
lora-step25,lora,25,600,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.62
lora-step25,lora,25,600,paired_counterfactual_image,shape,100,50,0.54,0.18,0.18,0.8
lora-step25,lora,25,600,paired_counterfactual_image,spatial,100,50,0.67,0.34,0.34,0.34
lora-step50,lora,50,1200,vision,overall,600,300,0.22666666666666666,0.1,0.1,0.4066666666666667
lora-step50,lora,50,1200,vision,color,100,50,0.06,0.0,0.0,0.22
lora-step50,lora,50,1200,vision,coordinate,100,50,0.0,0.0,0.0,0.0
lora-step50,lora,50,1200,vision,count,100,50,0.0,0.0,0.0,0.62
lora-step50,lora,50,1200,vision,ocr,100,50,0.0,0.0,0.0,0.7
lora-step50,lora,50,1200,vision,shape,100,50,0.8,0.6,0.6,0.9
lora-step50,lora,50,1200,vision,spatial,100,50,0.5,0.0,0.0,0.0
