modality,state,interpolation_alpha,condition,task,metric,pairs,mean
preference,frozen-base,,paired_counterfactual_image,overall,paired_preference,300,0.0
preference,frozen-base,,paired_counterfactual_image,overall,sample_preference,300,0.37666666666666665
preference,frozen-base,,paired_counterfactual_image,overall,mean_margin,300,-0.9734171475414483
preference,frozen-base,,paired_counterfactual_image,color,paired_preference,50,0.0
preference,frozen-base,,paired_counterfactual_image,color,sample_preference,50,0.39
preference,frozen-base,,paired_counterfactual_image,color,mean_margin,50,-0.6025000107288361
preference,frozen-base,,paired_counterfactual_image,coordinate,paired_preference,50,0.0
preference,frozen-base,,paired_counterfactual_image,coordinate,sample_preference,50,0.49
preference,frozen-base,,paired_counterfactual_image,coordinate,mean_margin,50,-0.06475747108459473
preference,frozen-base,,paired_counterfactual_image,count,paired_preference,50,0.0
preference,frozen-base,,paired_counterfactual_image,count,sample_preference,50,0.37
preference,frozen-base,,paired_counterfactual_image,count,mean_margin,50,-0.04437500238418579
preference,frozen-base,,paired_counterfactual_image,ocr,paired_preference,50,0.0
preference,frozen-base,,paired_counterfactual_image,ocr,sample_preference,50,0.45
preference,frozen-base,,paired_counterfactual_image,ocr,mean_margin,50,-0.48191123176756356
preference,frozen-base,,paired_counterfactual_image,shape,paired_preference,50,0.0
preference,frozen-base,,paired_counterfactual_image,shape,sample_preference,50,0.19
preference,frozen-base,,paired_counterfactual_image,shape,mean_margin,50,-4.506875047013164
preference,frozen-base,,paired_counterfactual_image,spatial,paired_preference,50,0.0
preference,frozen-base,,paired_counterfactual_image,spatial,sample_preference,50,0.37
preference,frozen-base,,paired_counterfactual_image,spatial,mean_margin,50,-0.1400841222703457
preference,frozen-base,,shuffled_image,overall,paired_preference,300,0.043333333333333335
preference,frozen-base,,shuffled_image,overall,sample_preference,300,0.4583333333333333
preference,frozen-base,,shuffled_image,overall,mean_margin,300,-0.02903409248791517
preference,frozen-base,,shuffled_image,color,paired_preference,50,0.08
preference,frozen-base,,shuffled_image,color,sample_preference,50,0.44
preference,frozen-base,,shuffled_image,color,mean_margin,50,-0.07000000834465027
preference,frozen-base,,shuffled_image,coordinate,paired_preference,50,0.0
preference,frozen-base,,shuffled_image,coordinate,sample_preference,50,0.5
preference,frozen-base,,shuffled_image,coordinate,mean_margin,50,0.0033815908432006836
preference,frozen-base,,shuffled_image,count,paired_preference,50,0.04
preference,frozen-base,,shuffled_image,count,sample_preference,50,0.44
preference,frozen-base,,shuffled_image,count,mean_margin,50,0.00125
preference,frozen-base,,shuffled_image,ocr,paired_preference,50,0.0
preference,frozen-base,,shuffled_image,ocr,sample_preference,50,0.48
preference,frozen-base,,shuffled_image,ocr,mean_margin,50,-0.049624264535449825
preference,frozen-base,,shuffled_image,shape,paired_preference,50,0.14
preference,frozen-base,,shuffled_image,shape,sample_preference,50,0.52
preference,frozen-base,,shuffled_image,shape,mean_margin,50,0.051875000819563866
preference,frozen-base,,shuffled_image,spatial,paired_preference,50,0.0
preference,frozen-base,,shuffled_image,spatial,sample_preference,50,0.37
preference,frozen-base,,shuffled_image,spatial,mean_margin,50,-0.11108687371015549
preference,frozen-base,,vision,overall,paired_preference,300,0.22
preference,frozen-base,,vision,overall,sample_preference,300,0.6066666666666667
preference,frozen-base,,vision,overall,mean_margin,300,0.9734171475414483
preference,frozen-base,,vision,color,paired_preference,50,0.22
preference,frozen-base,,vision,color,sample_preference,50,0.61
preference,frozen-base,,vision,color,mean_margin,50,0.6025000107288361
preference,frozen-base,,vision,coordinate,paired_preference,50,0.02
preference,frozen-base,,vision,coordinate,sample_preference,50,0.51
preference,frozen-base,,vision,coordinate,mean_margin,50,0.06475747108459473
preference,frozen-base,,vision,count,paired_preference,50,0.16
preference,frozen-base,,vision,count,sample_preference,50,0.56
preference,frozen-base,,vision,count,mean_margin,50,0.04437500238418579
preference,frozen-base,,vision,ocr,paired_preference,50,0.1
preference,frozen-base,,vision,ocr,sample_preference,50,0.55
preference,frozen-base,,vision,ocr,mean_margin,50,0.48191123176756356
preference,frozen-base,,vision,shape,paired_preference,50,0.56
preference,frozen-base,,vision,shape,sample_preference,50,0.78
preference,frozen-base,,vision,shape,mean_margin,50,4.506875047013164
preference,frozen-base,,vision,spatial,paired_preference,50,0.26
preference,frozen-base,,vision,spatial,sample_preference,50,0.63
preference,frozen-base,,vision,spatial,mean_margin,50,0.1400841222703457
preference,projector-interp000,0.0,paired_counterfactual_image,overall,paired_preference,300,0.01
preference,projector-interp000,0.0,paired_counterfactual_image,overall,sample_preference,300,0.23
preference,projector-interp000,0.0,paired_counterfactual_image,overall,mean_margin,300,-1.8123680175723516
preference,projector-interp000,0.0,paired_counterfactual_image,color,paired_preference,50,0.0
preference,projector-interp000,0.0,paired_counterfactual_image,color,sample_preference,50,0.19
preference,projector-interp000,0.0,paired_counterfactual_image,color,mean_margin,50,-2.056249995082617
preference,projector-interp000,0.0,paired_counterfactual_image,coordinate,paired_preference,50,0.0
preference,projector-interp000,0.0,paired_counterfactual_image,coordinate,sample_preference,50,0.28
preference,projector-interp000,0.0,paired_counterfactual_image,coordinate,mean_margin,50,-0.711889134645462
preference,projector-interp000,0.0,paired_counterfactual_image,count,paired_preference,50,0.06
preference,projector-interp000,0.0,paired_counterfactual_image,count,sample_preference,50,0.28
preference,projector-interp000,0.0,paired_counterfactual_image,count,mean_margin,50,-0.3656249940395355
preference,projector-interp000,0.0,paired_counterfactual_image,ocr,paired_preference,50,0.0
preference,projector-interp000,0.0,paired_counterfactual_image,ocr,sample_preference,50,0.41
preference,projector-interp000,0.0,paired_counterfactual_image,ocr,mean_margin,50,-0.6160619808378673
preference,projector-interp000,0.0,paired_counterfactual_image,shape,paired_preference,50,0.0
preference,projector-interp000,0.0,paired_counterfactual_image,shape,sample_preference,50,0.09
preference,projector-interp000,0.0,paired_counterfactual_image,shape,mean_margin,50,-6.159374992365483
preference,projector-interp000,0.0,paired_counterfactual_image,spatial,paired_preference,50,0.0
preference,projector-interp000,0.0,paired_counterfactual_image,spatial,sample_preference,50,0.13
preference,projector-interp000,0.0,paired_counterfactual_image,spatial,mean_margin,50,-0.9650070084631444
preference,projector-interp000,0.0,shuffled_image,overall,paired_preference,300,0.12666666666666668
preference,projector-interp000,0.0,shuffled_image,overall,sample_preference,300,0.4483333333333333
preference,projector-interp000,0.0,shuffled_image,overall,mean_margin,300,-0.08981311590036391
preference,projector-interp000,0.0,shuffled_image,color,paired_preference,50,0.16
preference,projector-interp000,0.0,shuffled_image,color,sample_preference,50,0.46
preference,projector-interp000,0.0,shuffled_image,color,mean_margin,50,-0.12437498331069946
preference,projector-interp000,0.0,shuffled_image,coordinate,paired_preference,50,0.16
preference,projector-interp000,0.0,shuffled_image,coordinate,sample_preference,50,0.56
preference,projector-interp000,0.0,shuffled_image,coordinate,mean_margin,50,0.05478391379117966
preference,projector-interp000,0.0,shuffled_image,count,paired_preference,50,0.12
preference,projector-interp000,0.0,shuffled_image,count,sample_preference,50,0.46
preference,projector-interp000,0.0,shuffled_image,count,mean_margin,50,0.0012499994039535522
preference,projector-interp000,0.0,shuffled_image,ocr,paired_preference,50,0.1
preference,projector-interp000,0.0,shuffled_image,ocr,sample_preference,50,0.53
preference,projector-interp000,0.0,shuffled_image,ocr,mean_margin,50,-0.020128699325379844
preference,projector-interp000,0.0,shuffled_image,shape,paired_preference,50,0.22
preference,projector-interp000,0.0,shuffled_image,shape,sample_preference,50,0.55
preference,projector-interp000,0.0,shuffled_image,shape,mean_margin,50,0.26374995325924827
preference,projector-interp000,0.0,shuffled_image,spatial,paired_preference,50,0.0
preference,projector-interp000,0.0,shuffled_image,spatial,sample_preference,50,0.13
